UniprotID,Species,Temperature preference,Data Type
O29699,Archaeoglobus fulgidus,thermophilic,train
Q09X35,Morus indica,mesophilic,train
Q0G9N7,Liriodendron tulipifera,mesophilic,train
P0C473,Oryza sativa,mesophilic,train
P12151,Oryza sativa,mesophilic,train
A1E9Z0,Agrostis stolonifera,mesophilic,train
P25875,Hordeum vulgare,mesophilic,train
P27723,Zea mays,mesophilic,train
Q2QDA6,Cucumis sativus,mesophilic,train
Q95H63,Triticum aestivum,mesophilic,train
C0HKP7,Xenopus ruwenzoriensis,psychrophilic,train
C0HKP5,Xenopus ruwenzoriensis,psychrophilic,train
C0HKM1,Xenopus boumbaensis,mesophilic,train
C0HKP6,Xenopus ruwenzoriensis,psychrophilic,train
C0HKM2,Xenopus boumbaensis,mesophilic,train
C0HKM0,Xenopus boumbaensis,mesophilic,train
P42748,Arabidopsis thaliana,mesophilic,train
Q1GJL4,Ruegeria sp.,mesophilic,train
B2IC04,Beijerinckia indica,mesophilic,train
A6WZC6,Brucella anthropi,mesophilic,train
Q7MAE2,Wolinella succinogenes,mesophilic,train
A7H8A3,Anaeromyxobacter sp.,mesophilic,train
A0A0N4U9Z0,Dracunculus medinensis,mesophilic,train
Q8PCL4,Xanthomonas campestris,mesophilic,train
Q8PPC2,Xanthomonas axonopodis,mesophilic,train
Q5GW28,Xanthomonas oryzae,mesophilic,train
Q2NZA5,Xanthomonas oryzae,mesophilic,train
C6DIR6,Pectobacterium carotovorum,mesophilic,train
Q0PAG2,Campylobacter jejuni,mesophilic,train
P86263,Conus textile,mesophilic,train
A0A0H3GTG7,Klebsiella pneumoniae,mesophilic,train
A0QI58,Mycobacterium avium,mesophilic,train
Q66X52,Sus scrofa,mesophilic,train
Q6IRS2,Xenopus laevis,mesophilic,train
O43504,Homo sapiens,mesophilic,train
A9UL91,Xenopus tropicalis,mesophilic,train
Q3SZ68,Bos taurus,mesophilic,train
Q9D1L9,Mus musculus,mesophilic,train
Q1R7E2,Escherichia coli,mesophilic,train
B7LYF3,Escherichia coli,mesophilic,train
B2U0Q6,Shigella boydii,mesophilic,train
Q8Z3X9,Salmonella typhi,mesophilic,train
A8A430,Escherichia coli,mesophilic,train
Q0T107,Shigella flexneri,mesophilic,train
B7UHT8,Escherichia coli,mesophilic,train
A8AP95,Citrobacter koseri,mesophilic,train
Q8FE75,Escherichia coli,mesophilic,train
B7MZ42,Escherichia coli,mesophilic,train
Q0TDW3,Escherichia coli,mesophilic,train
A7ZQZ8,Escherichia coli,mesophilic,train
C5A0G1,Escherichia coli,mesophilic,train
Q46822,Escherichia coli,mesophilic,train
Q3YXY0,Shigella sonnei,mesophilic,train
B1XEH6,Escherichia coli,mesophilic,train
B5YQ81,Escherichia coli,mesophilic,train
B7MM76,Escherichia coli,mesophilic,train
A0A044SI24,Onchocerca volvulus,mesophilic,train
P45709,Bacillus subtilis,mesophilic,train
P84337,Phyllomedusa tarsius,mesophilic,train
Q32D99,Shigella dysenteriae,mesophilic,train
Q9Z471,Corynebacterium glutamicum,mesophilic,train
A0A0R0GFY3,Glycine max,mesophilic,train
